ID,REGION,DEPT,ARR,Men 2008,Women 2008,Total 2008,Men 2015,Women 2015,Total 2015,Growth Men,Growth Women,Household members age: 0-4,Household members age: 5-9,Household members age: 10-14,Household members age: 15-19,Household members age: 20-24,Household members age: 25-29,Household members age: 30-34,Household members age: 35-39,Household members age: 40-44,Household members age: 45-49,Household members age: 50-54,Household members age: 55-59,Household members age: 60-64,Household members age: 65-69,Household members age: 70-74,Household members age: 75-79,Household members age: 80 +,Household members age: Missing /DK,Household usual members: 0,Household usual members: 1,Household usual members: 2,Household usual members: 3,Household usual members: 4,Household usual members: 5,Household usual members: 6,Household usual members: 7,Household usual members: 8,Household usual members: 9 +,Sex of head of household: Male,Sex of head of household: Female,Residence and survival status of parents: Living with both parents,Residence and survival status of parents: Living with mother/father alive,Residence and survival status of parents: Living with mother/father dead,Residence and survival status of parents: Living with father/ mother alive,Residence and survival status of parents: Living with father/ mother dead,Residence and survival status of parents: Living with neither/ both alive,Residence and survival status of parents: Living with neither/ father alive,Residence and survival status of parents: Living with neither/ mother alive,Type of cooking fuel: Electricity,Type of cooking fuel: LPG, natural gas,Type of cooking fuel: Charcoal,Type of cooking fuel: Firewood, straw,Type of cooking fuel: Dung,Type of cooking fuel: Other,Persons per sleeping room: 1-2,Persons per sleeping room: 3-4,Persons per sleeping room: 5-6,Female Age group in school: 6-10,Female Age group in school: 11-15,Female Age group in school: 6-15,Female Age group in school: 16-20,Female Age group in school: 21-24,Male Age group in school: 6-10,Male Age group in school: 11-15,Male Age group in school: 6-15,Male Age group in school: 16-20,Male Age group in school: 21-24,Male Level of education: No education,Male Level of education: Primary,Male Level of education: Secondary,Male Level of education: Higher,Male Level of education: DK/missing,Female Level of education: No education,Female Level of education: Primary,Female Level of education: Secondary,Female Level of education: Higher,Female Level of education: DK/missing,Employment: No work in last 12 months,Employment: Worked last 12 months,Employment: Seasonally,Employment: Occasionally,Respondent's occupation: Agricultural - own land,Respondent's occupation: Agricultural - other,Respondent's occupation: Professional technical managerial,Respondent's occupation: Sales services,Respondent's occupation: Skilled manual,Respondent's occupation: Unskilled manual,Respondent's occupation: Household & domestic,Respondent's occupation: Other,No schooling or primary school: Can read a whole sentence,No schooling or primary school: Can read part of a sentence,No schooling or primary school: Cannot read at all,No schooling or primary school: No card with required language,No schooling or primary school: Missing,Mass communication media: No mass media,Mass communication media: Reads newspaper,Mass communication media: Watches television,Mass communication media: Listens to radio weekly,Mass communication media: All three media,Source of drinking water: Piped water,Source of drinking water: Well water,Source of drinking water: Surface water,Source of drinking water: Rainwater,Source of drinking water: Bottled water/Demi John,Source of drinking water: Other,Time to water source: Water within 15 minutes,Time to water source: Median time to source,Type of toilet facility: Flush toilet,Type of toilet facility: Pit toilet latrine,Type of toilet facility: No facility,Has electricity: No,Has electricity: Yes,Main floor material: Natural,Main floor material: Rudimentary,Main floor material: Finished,Household possessions: Radio,Household possessions: Television,Household possessions: Telephone,Household possessions: Refrigerator,Household possessions: Bicycle,Household possessions: Motorcycle,Household possessions: Private car,Household possessions: None of the previous
10.0,THIES,THIES,KEUR MOUSSA,281081,290652,571733,338520,349057,687577,1.241837762,1.200944772,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,2.5,80.8,10.6,4.0,0.0,2.2,60.8,29.6,7.1,2.5,0.0,74.9,63.9,68.9,31.1,12.0,73.7,65.7,69.7,34.2,21.3,25.3,37.8,25.3,8.0,3.5,33.4,38.9,21.5,5.0,1.2,41.5,45.4,5.9,7.2,,0.6,9.8,68.2,1.4,1.8,16.8,1.4,12.7,12.0,40.3,0.1,0.1,4.2,31.6,91.7,69.1,25.4,92.9,2.2,0.2,0.0,3.0,1.6,96.3,0.0,69.0,30.5,0.5,6.4,93.6,4.9,0.0,95.1,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
11.0,THIES,MBOUR,SINDIA,284200,275430,559630,342277,330776,673053,1.163884588,1.200943979,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,2.5,80.8,10.6,4.0,0.0,2.2,60.8,29.6,7.1,2.5,0.0,74.9,63.9,68.9,31.1,12.0,73.7,65.7,69.7,34.2,21.3,25.3,37.8,25.3,8.0,3.5,33.4,38.9,21.5,5.0,1.2,41.5,45.4,5.9,7.2,,0.6,9.8,68.2,1.4,1.8,16.8,1.4,12.7,12.0,40.3,0.1,0.1,4.2,31.6,91.7,69.1,25.4,92.9,2.2,0.2,0.0,3.0,1.6,96.3,0.0,69.0,30.5,0.5,6.4,93.6,4.9,0.0,95.1,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
12.0,THIES,THIES,NOTTO,281081,290652,571733,338520,349057,687577,1.241837762,1.200944772,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,2.5,80.8,10.6,4.0,0.0,2.2,60.8,29.6,7.1,2.5,0.0,74.9,63.9,68.9,31.1,12.0,73.7,65.7,69.7,34.2,21.3,25.3,37.8,25.3,8.0,3.5,33.4,38.9,21.5,5.0,1.2,41.5,45.4,5.9,7.2,,0.6,9.8,68.2,1.4,1.8,16.8,1.4,12.7,12.0,40.3,0.1,0.1,4.2,31.6,91.7,69.1,25.4,92.9,2.2,0.2,0.0,3.0,1.6,96.3,0.0,69.0,30.5,0.5,6.4,93.6,4.9,0.0,95.1,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
13.0,THIES,THIES,THIENABA,281081,290652,571733,338520,349057,687577,1.241837762,1.200944772,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,2.5,80.8,10.6,4.0,0.0,2.2,60.8,29.6,7.1,2.5,0.0,74.9,63.9,68.9,31.1,12.0,73.7,65.7,69.7,34.2,21.3,25.3,37.8,25.3,8.0,3.5,33.4,38.9,21.5,5.0,1.2,41.5,45.4,5.9,7.2,,0.6,9.8,68.2,1.4,1.8,16.8,1.4,12.7,12.0,40.3,0.1,0.1,4.2,31.6,91.7,69.1,25.4,92.9,2.2,0.2,0.0,3.0,1.6,96.3,0.0,69.0,30.5,0.5,6.4,93.6,4.9,0.0,95.1,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
14.0,THIES,TIVAOUANE,PAMBAL,219595,219192,438787,264470,263237,527707,1.198738587,1.200942553,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,2.5,80.8,10.6,4.0,0.0,2.2,60.8,29.6,7.1,2.5,0.0,74.9,63.9,68.9,31.1,12.0,73.7,65.7,69.7,34.2,21.3,25.3,37.8,25.3,8.0,3.5,33.4,38.9,21.5,5.0,1.2,41.5,45.4,5.9,7.2,,0.6,9.8,68.2,1.4,1.8,16.8,1.4,12.7,12.0,40.3,0.1,0.1,4.2,31.6,91.7,69.1,25.4,92.9,2.2,0.2,0.0,3.0,1.6,96.3,0.0,69.0,30.5,0.5,6.4,93.6,4.9,0.0,95.1,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
15.0,THIES,TIVAOUANE,MEOUANE,219595,219192,438787,264470,263237,527707,1.198738587,1.200942553,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,2.5,80.8,10.6,4.0,0.0,2.2,60.8,29.6,7.1,2.5,0.0,74.9,63.9,68.9,31.1,12.0,73.7,65.7,69.7,34.2,21.3,25.3,37.8,25.3,8.0,3.5,33.4,38.9,21.5,5.0,1.2,41.5,45.4,5.9,7.2,,0.6,9.8,68.2,1.4,1.8,16.8,1.4,12.7,12.0,40.3,0.1,0.1,4.2,31.6,91.7,69.1,25.4,92.9,2.2,0.2,0.0,3.0,1.6,96.3,0.0,69.0,30.5,0.5,6.4,93.6,4.9,0.0,95.1,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
16.0,THIES,TIVAOUANE,MERINA DAKHAR,219595,219192,438787,264470,263237,527707,1.198738587,1.200942553,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,2.5,80.8,10.6,4.0,0.0,2.2,60.8,29.6,7.1,2.5,0.0,74.9,63.9,68.9,31.1,12.0,73.7,65.7,69.7,34.2,21.3,25.3,37.8,25.3,8.0,3.5,33.4,38.9,21.5,5.0,1.2,41.5,45.4,5.9,7.2,,0.6,9.8,68.2,1.4,1.8,16.8,1.4,12.7,12.0,40.3,0.1,0.1,4.2,31.6,91.7,69.1,25.4,92.9,2.2,0.2,0.0,3.0,1.6,96.3,0.0,69.0,30.5,0.5,6.4,93.6,4.9,0.0,95.1,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
17.0,THIES,TIVAOUANE,NIAKHENE,219595,219192,438787,264470,263237,527707,1.198738587,1.200942553,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,2.5,80.8,10.6,4.0,0.0,2.2,60.8,29.6,7.1,2.5,0.0,74.9,63.9,68.9,31.1,12.0,73.7,65.7,69.7,34.2,21.3,25.3,37.8,25.3,8.0,3.5,33.4,38.9,21.5,5.0,1.2,41.5,45.4,5.9,7.2,,0.6,9.8,68.2,1.4,1.8,16.8,1.4,12.7,12.0,40.3,0.1,0.1,4.2,31.6,91.7,69.1,25.4,92.9,2.2,0.2,0.0,3.0,1.6,96.3,0.0,69.0,30.5,0.5,6.4,93.6,4.9,0.0,95.1,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
18.0,THIES,THIES,THIES SUD,281081,290652,571733,338520,349057,687577,1.241837762,1.200944772,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,2.5,80.8,10.6,4.0,0.0,2.2,60.8,29.6,7.1,2.5,0.0,74.9,63.9,68.9,31.1,12.0,73.7,65.7,69.7,34.2,21.3,25.3,37.8,25.3,8.0,3.5,33.4,38.9,21.5,5.0,1.2,41.5,45.4,5.9,7.2,,0.6,9.8,68.2,1.4,1.8,16.8,1.4,12.7,12.0,40.3,0.1,0.1,4.2,31.6,91.7,69.1,25.4,92.9,2.2,0.2,0.0,3.0,1.6,96.3,0.0,69.0,30.5,0.5,6.4,93.6,4.9,0.0,95.1,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
19.0,THIES,THIES,THIES NORD,281081,290652,571733,338520,349057,687577,1.241837762,1.200944772,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,2.5,80.8,10.6,4.0,0.0,2.2,60.8,29.6,7.1,2.5,0.0,74.9,63.9,68.9,31.1,12.0,73.7,65.7,69.7,34.2,21.3,25.3,37.8,25.3,8.0,3.5,33.4,38.9,21.5,5.0,1.2,41.5,45.4,5.9,7.2,,0.6,9.8,68.2,1.4,1.8,16.8,1.4,12.7,12.0,40.3,0.1,0.1,4.2,31.6,91.7,69.1,25.4,92.9,2.2,0.2,0.0,3.0,1.6,96.3,0.0,69.0,30.5,0.5,6.4,93.6,4.9,0.0,95.1,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
20.0,THIES,MBOUR,FISSEL,284200,275430,559630,342277,330776,673053,1.163884588,1.200943979,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,2.5,80.8,10.6,4.0,0.0,2.2,60.8,29.6,7.1,2.5,0.0,74.9,63.9,68.9,31.1,12.0,73.7,65.7,69.7,34.2,21.3,25.3,37.8,25.3,8.0,3.5,33.4,38.9,21.5,5.0,1.2,41.5,45.4,5.9,7.2,,0.6,9.8,68.2,1.4,1.8,16.8,1.4,12.7,12.0,40.3,0.1,0.1,4.2,31.6,91.7,69.1,25.4,92.9,2.2,0.2,0.0,3.0,1.6,96.3,0.0,69.0,30.5,0.5,6.4,93.6,4.9,0.0,95.1,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
